Horizontal
i:0, j:0, left:8, right:8
i:0, j:1, left:8, right:8
i:0, j:2, left:8, right:8
i:0, j:3, left:8, right:8
i:0, j:4, left:8, right:8
i:0, j:13, left:8, right:8
i:0, j:14, left:8, right:8
i:0, j:17, left:8, right:8
i:0, j:20, left:8, right:8
i:0, j:25, left:8, right:8
i:0, j:34, left:8, right:8
i:0, j:37, left:8, right:8
i:0, j:40, left:8, right:8
i:0, j:43, left:8, right:8
i:0, j:44, left:8, right:8
i:0, j:47, left:8, right:8
i:0, j:52, left:8, right:8
i:0, j:55, left:8, right:8
i:0, j:70, left:8, right:8
i:0, j:71, left:8, right:8
i:0, j:72, left:8, right:8
i:0, j:79, left:8, right:8
i:0, j:80, left:8, right:8
i:0, j:81, left:8, right:8
i:0, j:90, left:8, right:8
i:0, j:91, left:8, right:8
i:0, j:96, left:7, right:7
i:0, j:97, left:7, right:7
i:0, j:98, left:7, right:7
i:0, j:99, left:7, right:7
i:0, j:108, left:5, right:6
i:0, j:109, left:5, right:5
i:0, j:110, left:5, right:5
i:0, j:111, left:4, right:5
i:0, j:112, left:3, right:4
i:0, j:113, left:3, right:3
i:0, j:114, left:2, right:3
i:0, j:115, left:2, right:3
i:0, j:116, left:2, right:2
i:0, j:117, left:2, right:2
i:0, j:118, left:2, right:2
i:0, j:119, left:2, right:2
i:1, j:5, left:8, right:8
i:1, j:8, left:8, right:8
i:1, j:9, left:8, right:8
i:1, j:10, left:8, right:8
i:1, j:18, left:8, right:8
i:1, j:19, left:8, right:8
i:1, j:26, left:8, right:8
i:1, j:29, left:8, right:8
i:1, j:30, left:8, right:8
i:1, j:33, left:8, right:8
i:1, j:38, left:8, right:8
i:1, j:39, left:8, right:8
i:1, j:48, left:8, right:8
i:1, j:51, left:8, right:8
i:1, j:53, left:8, right:8
i:1, j:54, left:8, right:8
i:1, j:56, left:8, right:8
i:1, j:61, left:8, right:8
i:1, j:62, left:8, right:8
i:1, j:65, left:8, right:8
i:1, j:66, left:8, right:8
i:1, j:67, left:8, right:8
i:1, j:68, left:8, right:8
i:1, j:69, left:8, right:8
i:1, j:77, left:8, right:8
i:1, j:78, left:8, right:8
i:1, j:82, left:8, right:8
i:1, j:89, left:8, right:8
i:1, j:92, left:8, right:8
i:1, j:95, left:8, right:8
i:1, j:100, left:7, right:7
i:1, j:101, left:7, right:7
i:1, j:102, left:7, right:7
i:1, j:107, left:6, right:6
i:2, j:0, left:8, right:8
i:2, j:1, left:8, right:8
i:2, j:2, left:8, right:8
i:2, j:6, left:8, right:8
i:2, j:7, left:8, right:8
i:2, j:11, left:8, right:8
i:2, j:12, left:8, right:8
i:2, j:13, left:8, right:8
i:2, j:16, left:8, right:8
i:2, j:17, left:8, right:8
i:2, j:20, left:8, right:8
i:2, j:21, left:8, right:8
i:2, j:27, left:8, right:8
i:2, j:28, left:8, right:8
i:2, j:36, left:8, right:8
i:2, j:37, left:8, right:8
i:2, j:40, left:8, right:8
i:2, j:45, left:8, right:8
i:2, j:46, left:8, right:8
i:2, j:47, left:8, right:8
i:2, j:49, left:8, right:8
i:2, j:50, left:8, right:8
i:2, j:52, left:8, right:8
i:2, j:55, left:8, right:8
i:2, j:57, left:8, right:8
i:2, j:58, left:8, right:8
i:2, j:72, left:8, right:8
i:2, j:73, left:8, right:8
i:2, j:74, left:8, right:8
i:2, j:75, left:8, right:8
i:2, j:76, left:8, right:8
i:2, j:79, left:8, right:8
i:2, j:83, left:8, right:8
i:2, j:84, left:8, right:8
i:2, j:87, left:8, right:8
i:2, j:88, left:8, right:8
i:2, j:93, left:8, right:8
i:2, j:94, left:8, right:8
i:2, j:96, left:7, right:8
i:2, j:99, left:7, right:7
i:2, j:103, left:7, right:7
i:2, j:104, left:7, right:7
i:2, j:105, left:6, right:7
i:2, j:106, left:6, right:7
i:2, j:108, left:6, right:6
i:2, j:111, left:5, right:6
i:2, j:112, left:4, right:5
