Horizontal
i:0, j:0, left:5, right:5
i:0, j:1, left:4, right:5
i:0, j:2, left:4, right:4
i:0, j:7, left:4, right:4
i:0, j:8, left:4, right:4
i:0, j:11, left:4, right:5
i:0, j:12, left:5, right:5
i:0, j:13, left:5, right:5
i:0, j:14, left:5, right:5
i:0, j:17, left:6, right:6
i:0, j:18, left:6, right:7
i:0, j:19, left:7, right:7
i:0, j:20, left:7, right:7
i:0, j:21, left:7, right:7
i:0, j:24, left:7, right:7
i:0, j:25, left:7, right:7
i:0, j:26, left:7, right:7
i:0, j:27, left:7, right:7
i:0, j:28, left:6, right:6
i:0, j:33, left:6, right:6
i:0, j:34, left:6, right:6
i:0, j:35, left:6, right:6
i:0, j:40, left:6, right:6
i:0, j:43, left:6, right:6
i:0, j:46, left:6, right:6
i:0, j:47, left:7, right:7
i:0, j:48, left:7, right:7
i:0, j:49, left:7, right:7
i:0, j:50, left:7, right:7
i:0, j:55, left:7, right:6
i:0, j:56, left:7, right:7
i:0, j:81, left:3, right:3
i:0, j:82, left:3, right:3
i:0, j:87, left:4, right:4
i:0, j:88, left:4, right:4
i:0, j:89, left:4, right:4
i:0, j:90, left:4, right:4
i:0, j:91, left:4, right:4
i:0, j:92, left:5, right:4
i:0, j:95, left:5, right:5
i:0, j:96, left:5, right:5
i:0, j:107, left:5, right:6
i:0, j:108, left:6, right:6
i:0, j:109, left:6, right:6
i:0, j:110, left:6, right:6
i:0, j:113, left:7, right:7
i:0, j:114, left:7, right:7
i:0, j:119, left:7, right:7
i:1, j:5, left:4, right:4
i:1, j:6, left:4, right:4
i:1, j:9, left:4, right:4
i:1, j:10, left:4, right:5
i:1, j:29, left:6, right:6
i:1, j:32, left:6, right:6
i:1, j:36, left:6, right:6
i:1, j:37, left:6, right:6
i:1, j:38, left:6, right:6
i:1, j:39, left:6, right:6
i:1, j:41, left:6, right:7
i:1, j:42, left:6, right:7
i:1, j:44, left:6, right:6
i:1, j:45, left:6, right:6
i:1, j:51, left:7, right:7
i:1, j:52, left:7, right:7
i:1, j:53, left:6, right:6
i:1, j:54, left:6, right:6
i:1, j:57, left:7, right:7
i:1, j:58, left:7, right:6
i:1, j:59, left:7, right:7
i:1, j:60, left:7, right:7
i:1, j:61, left:7, right:7
i:1, j:62, left:7, right:6
i:1, j:63, left:6, right:6
i:1, j:68, left:5, right:5
i:1, j:69, left:5, right:5
i:1, j:70, left:5, right:5
i:1, j:71, left:5, right:5
i:1, j:72, left:5, right:5
i:1, j:75, left:5, right:5
i:1, j:76, left:5, right:5
i:1, j:83, left:3, right:3
i:1, j:84, left:3, right:3
i:1, j:93, left:5, right:4
i:1, j:94, left:5, right:4
i:1, j:97, left:5, right:5
i:1, j:104, left:5, right:5
i:1, j:111, left:7, right:6
i:1, j:112, left:7, right:7
i:1, j:115, left:7, right:7
i:1, j:116, left:7, right:7
i:1, j:117, left:7, right:7
i:1, j:118, left:7, right:7
i:2, j:0, left:5, right:5
i:2, j:1, left:5, right:5
i:2, j:2, left:5, right:5
i:2, j:3, left:4, right:4
i:2, j:4, left:4, right:4
i:2, j:7, left:4, right:4
i:2, j:8, left:4, right:4
i:2, j:13, left:5, right:5
i:2, j:16, left:6, right:6
i:2, j:19, left:6, right:6
i:2, j:20, left:6, right:6
i:2, j:21, left:7, right:6
i:2, j:22, left:7, right:7
i:2, j:23, left:7, right:7
i:2, j:24, left:7, right:6
i:2, j:30, left:6, right:6
i:2, j:31, left:6, right:6
i:2, j:33, left:6, right:6
i:2, j:40, left:6, right:7
i:2, j:43, left:6, right:7
i:2, j:46, left:6, right:7
i:2, j:47, left:7, right:7
i:2, j:48, left:7, right:7
i:2, j:64, left:6, right:6
i:2, j:67, left:5, right:5
i:2, j:77, left:4, right:4
i:2, j:78, left:4, right:4
i:2, j:85, left:4, right:4
i:2, j:88, left:4, right:4
i:2, j:89, left:4, right:4
i:2, j:90, left:4, right:4
i:2, j:98, left:5, right:5
i:2, j:101, left:4, right:4
i:2, j:102, left:5, right:5
i:2, j:103, left:5, right:5
